zhíyè	职业
jǐngchá	警察
gōngchéngshī	工程师
xiāofángyuán	消防员
hùshi	护士
yīshēng	医生
sījī	司机
lǜshī	律师
shèjìshī	设计师
chúshī	厨师
shāngrén	商人
ruǎnjiàn	软件
zhùnǐhǎoyùn	祝你好运
shēntǐjiànkāng	身体健康          祝你身体健康
mǎnóng	码农
shēntǐbùwèi	身体部位
liǎn	脸
bózi	脖子
jiānbǎng	肩膀
chìbǎng	翅膀
gēbo	胳膊
gēbozhǒu	胳膊肘
shǒu	手
shǒuzhǐtou	手指头
xīgài	膝盖
jiǎo	脚
jiǎozhǐ	脚指
yǎnjing	眼睛
yǎnjìng	眼镜          戴眼镜
ná	拿
dòngwù	动物
gōngyáng/mǔyáng	公羊/母羊           gōng + animal = male animal mǔ + animal = female animal
zhíwù	植物
yáng	羊
shānyáng	山羊
miányáng	绵羊
měizhōubào	美洲豹 （dòngwù）
chǒngwù	宠物
chǒng‘ài	宠爱
xióngmāo	熊猫
hóuzi	猴子
měihóuwáng	美猴王
sōngshǔ	松鼠
sōngshù	松树
cāngshǔ	仓鼠
wūguī	乌龟
yīfu	衣服
chuān	穿          穿衣服
T'xù	T恤
duǎnkù	短裤
chènshān	衬衫
kùzi	裤子
niúzǎikù	牛仔裤
qúnzi	裙子
liányīqún	连衣裙
máoyī	毛衣
jiākè	夹克
dàyī	大衣
chángkù	长裤
xiàndài	现代艺术 yìshù
liúhàn	流汗
xiézi	鞋子
yùndòngfú	运动服
xiàofú	校服
wèiyī	卫衣
liánmàoshān	连帽衫
dàimàozi	戴帽子
wéijīn	围巾
jièzhi	戒指
shǒutào	手套
wǒ	我在读研究生 zài dú yánjiūshēng
biànchéng	变成
码 写	xiě mǎ
shíjiān	时间
zǎoshang	早上
shàngwǔ	上午
zhōngwǔ	中午
xiàwǔ	下午
wǎnshang	晚上
shùxué	数学
shùzì	数字 (shùxué)
jiā	加 (数学）
jiǎn	减
chéng	乘
chú	除
"liù	六点零五分	diǎn líng wǔ fēn"
wǔ	五点半 diǎn bàn
miǎo	秒
tā	他
